	Clean read rate	Mean Coverage	Raw reads	Total filtered	Cutted adapter	Coverage(>=1X)_chr10	Coverage(>=5X)_chr10	Coverage(>=10X)_chr10	Coverage(>=20X)_chr10	Coverage(>=1X)_chrX	Coverage(>=5X)_chrX	Coverage(>=10X)_chrX	Coverage(>=20X)_chrX	Coverage(>=1X)_chrY	Coverage(>=5X)_chrY	Coverage(>=10X)_chrY	Coverage(>=20X)_chrY	Mapping rate	Mismatch rate	Insert size_median	Total SNP_chr10	dbSNP rate_chr10	Novel SNP_chr10	Novel SNP rate_chr10	dbSNP TITV_chr10	Novel TITV_chr10	Total INDEL_chr10	Novel INDEL_chr10	Total SNP_chrX	dbSNP rate_chrX	Novel SNP_chrX	Novel SNP rate_chrX	dbSNP TITV_chrX	Novel TITV_chrX	Total INDEL_chrX	Novel INDEL_chrX	Total SNP_chrY	dbSNP rate_chrY	Novel SNP_chrY	Novel SNP rate_chrY	dbSNP TITV_chrY	Novel TITV_chrY	Total INDEL_chrY	Novel INDEL_chrY
DZM00000028.16382.WGS.report.html	98.92	35.7	712372886.0	7681574.0	7181698.0	0.97	0.96	0.94	0.87	0.97	0.96	0.94	0.85	0.09	0.06	0.04	0.02	99.73	1.03	376.0	185245.0	99.82	327.0	0.18	2.1	0.78	36236.0	44.0	110653.0	99.62	424.0	0.38	1.93	0.87	25448.0	79.0	12575.0	99.13	110.0	0.87	1.2	0.49	1082.0	125.0
DZM00000029.16383.WGS.report.html	98.94	33.03	645458380.0	6860878.0	5793133.0	0.97	0.96	0.93	0.84	0.97	0.93	0.8	0.26	0.43	0.41	0.36	0.14	99.64	1.12	376.0	180386.0	99.8	352.0	0.2	2.1	0.8	35161.0	58.0	78123.0	98.86	887.0	1.14	1.91	0.76	18656.0	123.0	13044.0	97.98	264.0	2.02	1.13	0.82	1506.0	120.0
DZM00000030.16524.WGS.report.html	99.33	38.55	789736028.0	5257770.0	15247718.0	0.97	0.95	0.9	0.69	0.97	0.96	0.91	0.73	0.11	0.06	0.04	0.03	99.44	1.07	360.0	199543.0	96.25	7490.0	3.75	2.06	0.77	52790.0	12593.0	128219.0	91.57	10814.0	8.43	1.86	0.67	47901.0	18347.0	13651.0	98.5	205.0	1.5	1.23	0.75	1221.0	221.0
DZM00000031.16385.WGS.report.html	98.93	38.29	758826100.0	8154084.0	6439535.0	0.97	0.96	0.94	0.87	0.97	0.96	0.94	0.85	0.1	0.06	0.05	0.02	99.72	1.04	379.0	185947.0	99.84	295.0	0.16	2.1	0.62	36424.0	55.0	107086.0	99.66	360.0	0.34	1.93	0.93	25272.0	76.0	13081.0	99.17	108.0	0.83	1.23	0.52	1157.0	143.0
DZM00000032.16386.WGS.report.html	98.92	32.34	629050178.0	6768800.0	5803950.0	0.97	0.96	0.93	0.83	0.97	0.93	0.8	0.22	0.43	0.41	0.36	0.12	99.63	1.06	385.0	185302.0	99.81	361.0	0.19	2.09	0.78	35853.0	74.0	79965.0	98.97	827.0	1.03	1.91	0.63	19084.0	87.0	13818.0	98.54	202.0	1.46	1.16	0.89	1802.0	125.0
DZM00000033.16387.WGS.report.html	92.61	28.91	609683946.0	45054868.0	5622403.0	0.97	0.95	0.93	0.81	0.97	0.93	0.78	0.15	0.43	0.41	0.34	0.07	99.62	1.37	369.0	186741.0	99.82	332.0	0.18	2.12	0.84	34716.0	43.0	76443.0	98.84	883.0	1.16	1.92	0.81	17509.0	118.0	12584.0	98.38	204.0	1.62	1.2	0.85	1658.0	127.0
DZM00000034.16388.WGS.report.html	98.65	38.05	759916760.0	10226166.0	7982904.0	0.97	0.96	0.94	0.88	0.97	0.96	0.94	0.87	0.09	0.06	0.04	0.02	99.75	0.98	362.0	183648.0	99.85	280.0	0.15	2.1	0.66	35864.0	56.0	108037.0	99.65	375.0	0.35	1.93	0.91	24906.0	80.0	12551.0	99.13	109.0	0.87	1.23	0.56	1120.0	134.0
DZM00000035.16389.WGS.report.html	98.93	32.68	633392916.0	6806968.0	5759212.0	0.97	0.96	0.94	0.84	0.97	0.93	0.81	0.24	0.43	0.41	0.36	0.12	99.63	1.07	376.0	187602.0	99.82	334.0	0.18	2.09	0.72	36532.0	53.0	74950.0	98.98	762.0	1.02	1.9	0.67	18507.0	81.0	13084.0	98.31	221.0	1.69	1.13	0.66	1731.0	110.0
DZM00000036.16390.WGS.report.html	98.76	37.45	751996452.0	9351964.0	6644019.0	0.97	0.96	0.94	0.87	0.97	0.96	0.94	0.85	0.09	0.06	0.04	0.02	99.72	0.94	366.0	177622.0	99.75	448.0	0.25	2.09	1.73	35411.0	54.0	113575.0	99.49	579.0	0.51	1.94	1.69	26032.0	112.0	12661.0	99.01	125.0	0.99	1.2	0.54	1123.0	122.0
DZM00000037.16391.WGS.report.html	95.52	35.22	673423248.0	30175986.0	14365602.0	0.97	0.96	0.95	0.87	0.97	0.95	0.84	0.25	0.43	0.42	0.37	0.13	99.66	1.11	348.0	182699.0	99.39	1109.0	0.61	2.09	1.46	37200.0	246.0	84604.0	95.55	3766.0	4.45	1.9	1.58	20577.0	674.0	13922.0	94.26	799.0	5.74	1.1	1.39	1724.0	240.0
DZM00000038.16392.WGS.report.html	99.36	30.1	602825998.0	3866578.0	5769349.0	0.96	0.95	0.91	0.77	0.97	0.95	0.9	0.73	0.09	0.05	0.04	0.01	99.7	1.13	366.0	183181.0	99.32	1245.0	0.68	2.11	2.62	34218.0	80.0	107332.0	98.67	1424.0	1.33	1.96	2.76	23335.0	137.0	11738.0	99.02	115.0	0.98	1.24	0.77	974.0	111.0
DZM00000039.16393.WGS.report.html	99.33	33.48	659498970.0	4433392.0	6339318.0	0.97	0.95	0.92	0.81	0.97	0.92	0.79	0.3	0.42	0.4	0.33	0.13	99.61	1.02	363.0	183100.0	99.46	994.0	0.54	2.1	2.71	34561.0	78.0	78412.0	96.68	2601.0	3.32	1.95	3.01	17945.0	139.0	12607.0	96.2	479.0	3.8	1.11	2.35	1484.0	119.0
DZM00000040.16523.WGS.report.html	98.99	31.23	595335932.0	5987140.0	25915649.0	0.97	0.94	0.81	0.46	0.97	0.9	0.66	0.28	0.41	0.23	0.1	0.04	98.79	1.63	385.0	216459.0	94.36	12219.0	5.64	2.01	0.55	65112.0	23933.0	118830.0	86.58	15943.0	13.42	1.81	0.57	51934.0	27059.0	14487.0	90.57	1366.0	9.43	1.09	0.61	2848.0	1588.0
DZM00000041.16395.WGS.report.html	99.51	39.63	780249108.0	3843364.0	7560821.0	0.97	0.96	0.94	0.88	0.97	0.96	0.94	0.87	0.09	0.06	0.05	0.02	99.71	0.93	382.0	183624.0	99.83	308.0	0.17	2.08	0.91	36350.0	49.0	111629.0	99.67	367.0	0.33	1.92	0.71	25964.0	102.0	13335.0	98.86	152.0	1.14	1.23	0.69	1142.0	140.0
DZM00000042.16396.WGS.report.html	99.5	33.3	636824100.0	3205174.0	5594437.0	0.97	0.96	0.93	0.83	0.97	0.92	0.79	0.25	0.43	0.41	0.35	0.12	99.67	1.01	380.0	180623.0	99.78	392.0	0.22	2.09	1.01	35041.0	61.0	75761.0	99.0	760.0	1.0	1.9	0.77	18260.0	105.0	12853.0	98.02	255.0	1.98	1.14	0.71	1496.0	122.0
E20B1111411.13418.WGS.report.html	99.6	0.62	12259552.0	48494.0	110655.0	0.44	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.11	0.0	0.0	0.0	99.88	0.67	358.0	12216.0	98.19	221.0	1.81	2.01	1.33	1606.0	15.0	3142.0	95.89	129.0	4.11	2.09	1.35	491.0	6.0	691.0	95.51	31.0	4.49	1.09	1.58	68.0	3.0
E20B1111411.13425.WGS.report.html	99.31	0.62	12229578.0	84860.0	110545.0	0.43	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.1	0.0	0.0	0.0	99.88	0.61	358.0	12161.0	98.33	203.0	1.67	2.09	1.78	1597.0	9.0	3167.0	94.98	159.0	5.02	2.09	2.7	470.0	9.0	702.0	94.87	36.0	5.13	1.1	1.77	59.0	4.0
E20B1111411.13426.WGS.report.html	97.68	0.56	11309640.0	261866.0	102003.0	0.41	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.1	0.0	0.0	0.0	99.88	0.63	358.0	10522.0	97.91	220.0	2.09	2.02	1.59	1455.0	15.0	2590.0	95.6	114.0	4.4	2.08	1.71	392.0	8.0	553.0	96.75	18.0	3.25	1.07	2.0	61.0	2.0
E20B1111411.13427.WGS.report.html	99.3	0.6	12009530.0	83884.0	108538.0	0.43	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.09	0.0	0.0	0.0	99.88	0.65	358.0	11662.0	98.1	222.0	1.9	2.07	1.85	1585.0	14.0	3007.0	95.41	138.0	4.59	1.95	2.14	448.0	6.0	642.0	94.39	36.0	5.61	1.29	0.89	62.0	4.0
EVG00000118.13794.WGS.report.html	98.34	36.21	712625338.0	11802460.0	5495652.0	0.97	0.96	0.94	0.86	0.97	0.93	0.83	0.35	0.43	0.41	0.37	0.17	99.64	1.03	335.0	181075.0	99.84	285.0	0.16	2.12	0.89	35103.0	49.0	76469.0	99.25	573.0	0.75	1.93	1.38	18614.0	104.0	12408.0	98.53	182.0	1.47	1.12	0.86	1534.0	136.0
FND00000543.13616.WGS.report.html	95.06	23.61	474811610.0	23466718.0	6102115.0	0.96	0.95	0.9	0.63	0.97	0.95	0.88	0.59	0.08	0.05	0.03	0.01	99.79	1.1	450.0	177527.0	99.66	602.0	0.34	2.1	0.79	33876.0	70.0	107373.0	99.38	666.0	0.62	1.94	0.73	23712.0	92.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00000543.13618.WGS.report.html	95.06	23.61	474811610.0	23466718.0	6102115.0	0.96	0.95	0.9	0.63	0.97	0.95	0.88	0.59	0.08	0.05	0.03	0.01	99.79	1.1	450.0	177532.0	99.66	602.0	0.34	2.1	0.79	33878.0	70.0	107373.0	99.38	666.0	0.62	1.94	0.73	23712.0	92.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00000543.13667.WGS.report.html	95.06	23.61	474811610.0	23466718.0	6102115.0	0.96	0.95	0.9	0.63	0.97	0.95	0.88	0.59	0.08	0.05	0.03	0.01	99.79	1.1	450.0	177536.0	99.66	602.0	0.34	2.1	0.79	33878.0	70.0	107373.0	99.38	666.0	0.62	1.94	0.73	23712.0	92.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00000543.13668.WGS.report.html	95.06	23.61	474811610.0	23466718.0	6102115.0	0.96	0.95	0.9	0.63	0.97	0.95	0.88	0.59	0.08	0.05	0.03	0.01	99.79	1.1	450.0	177536.0	99.66	602.0	0.34	2.1	0.79	33878.0	70.0	107373.0	99.38	666.0	0.62	1.94	0.73	23712.0	92.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00000543.13669.WGS.report.html	95.06	23.61	474811610.0	23466718.0	6102115.0	0.96	0.95	0.9	0.63	0.97	0.95	0.88	0.59	0.08	0.05	0.03	0.01	99.79	1.1	450.0	177540.0	99.66	602.0	0.34	2.1	0.79	33878.0	70.0	107373.0	99.38	666.0	0.62	1.94	0.73	23712.0	92.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00000543.13670.WGS.report.html	95.06	23.61	474811610.0	23466718.0	6102115.0	0.96	0.95	0.9	0.63	0.97	0.95	0.88	0.59	0.08	0.05	0.03	0.01	99.79	1.1	450.0	177538.0	99.66	602.0	0.34	2.1	0.79	33878.0	70.0	107373.0	99.38	666.0	0.62	1.94	0.73	23712.0	92.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00000543.13672.WGS.report.html	95.06	23.61	474811610.0	23466718.0	6102115.0	0.96	0.95	0.9	0.63	0.97	0.95	0.88	0.59	0.08	0.05	0.03	0.01	99.79	1.1	450.0	177537.0	99.66	602.0	0.34	2.1	0.79	33878.0	70.0	107373.0	99.38	666.0	0.62	1.94	0.73	23712.0	92.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00000543.13673.WGS.report.html	95.06	23.61	474811610.0	23466718.0	6102115.0	0.96	0.95	0.9	0.63	0.97	0.95	0.88	0.59	0.08	0.05	0.03	0.01	99.79	1.1	450.0	177538.0	99.66	602.0	0.34	2.1	0.79	33878.0	70.0	107373.0	99.38	666.0	0.62	1.94	0.73	23712.0	92.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00000543.13674.WGS.report.html	95.06	23.61	474811610.0	23466718.0	6102115.0	0.96	0.95	0.9	0.63	0.97	0.95	0.88	0.59	0.08	0.05	0.03	0.01	99.79	1.1	450.0	177536.0	99.66	602.0	0.34	2.1	0.79	33878.0	70.0	107373.0	99.38	666.0	0.62	1.94	0.73	23712.0	92.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00000543.13675.WGS.report.html	95.06	23.61	474811610.0	23466718.0	6102115.0	0.96	0.95	0.9	0.63	0.97	0.95	0.88	0.59	0.08	0.05	0.03	0.01	99.79	1.1	450.0	177537.0	99.66	602.0	0.34	2.1	0.79	33878.0	70.0	107373.0	99.38	666.0	0.62	1.94	0.73	23712.0	92.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00000543.13676.WGS.report.html	95.06	23.61	474811610.0	23466718.0	6102115.0	0.96	0.95	0.9	0.63	0.97	0.95	0.88	0.59	0.08	0.05	0.03	0.01	99.79	1.1	450.0	177534.0	99.66	602.0	0.34	2.1	0.79	33876.0	70.0	107373.0	99.38	666.0	0.62	1.94	0.73	23712.0	92.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00000543.13677.WGS.report.html	95.06	23.61	474811610.0	23466718.0	6102115.0	0.96	0.95	0.9	0.63	0.97	0.95	0.88	0.59	0.08	0.05	0.03	0.01	99.79	1.1	450.0	177533.0	99.66	602.0	0.34	2.1	0.79	33876.0	70.0	107373.0	99.38	666.0	0.62	1.94	0.73	23712.0	92.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00000543.13680.WGS.report.html	95.06	23.61	474811610.0	23466718.0	6102115.0	0.96	0.95	0.9	0.63	0.97	0.95	0.88	0.59	0.08	0.05	0.03	0.01	99.79	1.1	450.0	177536.0	99.66	602.0	0.34	2.1	0.79	33878.0	70.0	107373.0	99.38	666.0	0.62	1.94	0.73	23712.0	92.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
